title,address,price,beds,link,walking_time
The Elysian at Stonefield,"2105 Bond St, Charlottesville, VA 22901","$1,960 - $3,806",Studio - 3 Beds,https://www.apartments.com/the-elysian-at-stonefield-charlottesville-va/x0fbs5q/,Error
The Ridge at North Pointe,"5025 Huntly Ridge St, Charlottesville, VA 22911","$1,760 - $2,958",1-3 Beds,https://www.apartments.com/the-ridge-at-north-pointe-charlottesville-va/vjwkl3f/,Error
Six Hundred West Main,"600 W Main St, Charlottesville, VA 22903","$1,564 - $5,393",Studio - 3 Beds,https://www.apartments.com/six-hundred-west-main-charlottesville-va/vw0g2tf/,Error
Altoview Apartment Homes,"310 Fisher St, Charlottesville, VA 22911","$1,925 - $3,277",1-3 Beds,https://www.apartments.com/altoview-apartment-homes-charlottesville-va/1b8gds4/,Error
Attain on 5th,"100 Wahoo Way, Charlottesville, VA 22903","$1,975 - $4,650",2-3 Beds,https://www.apartments.com/attain-on-5th-charlottesville-va/30cg8rf/,Error
Beacon on 5th,"100 Dalton Ln, Charlottesville, VA 22903","$2,040 - $2,804",1-3 Beds,https://www.apartments.com/beacon-on-5th-charlottesville-va/gz68x7y/,Error
Archer at Brookhill,"485 Crafton Cir, Charlottesville, VA 22911","$1,849 - $2,700",1-3 Beds,https://www.apartments.com/archer-at-brookhill-charlottesville-va/92x68y4/,Error
10th & Dairy,"400 10th St NW, Charlottesville, VA 22903","$2,049 - $3,600",1-2 Beds,https://www.apartments.com/10th-dairy-charlottesville-va/f3ywbrr/,Error
5 Row Apartments,"506 Five Row Way, Charlottesville, VA 22903","$1,900 - $2,280",1-2 Beds,https://www.apartments.com/5-row-apartments-charlottesville-va/vzj5d5g/,Error
The Arrowood,"463 Rio Road West, Charlottesville, VA 22901",,Studio - 3 Beds,https://www.apartments.com/the-arrowood-charlottesville-va/rlr4923/,Error
